timeStamp, value, severity, description, message
2020-1-9 19:35,4,WARNING,NaN:'hey',rating on service
2020-1-9 19:39,4,WARNING,NaN:'hey',rating on service
2020-1-9 19:39,4,WARNING,NaN:'hey',rating on service
2020-1-9 19:39,4,WARNING,NaN:'hey',rating on service
2020-1-9 19:39,4,WARNING,NaN:'hey',rating on service
2020-1-9 19:39,4,WARNING,NaN:'hey',rating on service
2020-1-9 19:51,4,WARNING,NaN:'hey',rating on service
2020-1-9 19:51,4,WARNING,NaN:'hey',rating on service
2020-1-9 19:51,4,WARNING,NaN:'hey',rating on service
2020-1-9 19:51,4,WARNING,NaN:'hey',rating on service
